target,source,o_name,d_name,non_norm_flow,population origin,flow,the_geom,,,,
SH,HH,Schleswig-Holstein,Hamburg,18864,2834259,0.006655708,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,NI,Schleswig-Holstein,Niedersachsen,8326,2834259,0.002937628,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,HB,Schleswig-Holstein,Bremen,1069,2834259,0.000377171,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,NW,Schleswig-Holstein,Nordrhein-Westfalen,5607,2834259,0.001978295,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,HE,Schleswig-Holstein,Hessen,2027,2834259,0.000715178,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,RP,Schleswig-Holstein,Rheinland-Pfalz,895,2834259,0.000315779,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,BW,Schleswig-Holstein,Baden-W�rttemberg,2551,2834259,0.000900059,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,BY,Schleswig-Holstein,Bayern,2788,2834259,0.000983679,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,SL,Schleswig-Holstein,Saarland,160,2834259,5.64521E-05,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,BE,Schleswig-Holstein,Berlin,2777,2834259,0.000979798,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,BB,Schleswig-Holstein,Brandenburg,1080,2834259,0.000381052,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,MV,Schleswig-Holstein,Mecklenburg-Vorpommern,1943,2834259,0.000685541,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,SN,Schleswig-Holstein,Sachsen,966,2834259,0.00034083,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,ST,Schleswig-Holstein,Sachsen-Anhalt,706,2834259,0.000249095,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
SH,TH,Schleswig-Holstein,Th�ringen,461,2834259,0.000162653,0101000020E61000007FAF6C44F6A823406A11636A53174B40,,,,
HH,SH,Hamburg,Schleswig-Holstein,22009,1786448,0.012319978,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,NI,Hamburg,Niedersachsen,11653,1786448,0.006523,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,HB,Hamburg,Bremen,1063,1786448,0.000595036,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,NW,Hamburg,Nordrhein-Westfalen,4307,1786448,0.002410929,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,HE,Hamburg,Hessen,1800,1786448,0.001007586,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,RP,Hamburg,Rheinland-Pfalz,626,1786448,0.000350416,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,BW,Hamburg,Baden-W�rttemberg,2199,1786448,0.001230934,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,BY,Hamburg,Bayern,2545,1786448,0.001424615,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,SL,Hamburg,Saarland,95,1786448,5.31782E-05,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,BE,Hamburg,Berlin,3470,1786448,0.001942402,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,BB,Hamburg,Brandenburg,677,1786448,0.000378964,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,MV,Hamburg,Mecklenburg-Vorpommern,852,1786448,0.000476924,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,SN,Hamburg,Sachsen,699,1786448,0.000391279,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,ST,Hamburg,Sachsen-Anhalt,442,1786448,0.000247418,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
HH,TH,Hamburg,Th�ringen,330,1786448,0.000184724,0101000020E6100000ED07CE44960F2440A7DD5167A7C54A40,,,,
NI,SH,Niedersachsen,Schleswig-Holstein,8907,7918293,0.001124864,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,HH,Niedersachsen,Hamburg,12235,7918293,0.001545156,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,HB,Niedersachsen,Bremen,12868,7918293,0.001625098,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,NW,Niedersachsen,Nordrhein-Westfalen,29955,7918293,0.003783012,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,HE,Niedersachsen,Hessen,7807,7918293,0.000985945,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,RP,Niedersachsen,Rheinland-Pfalz,3046,7918293,0.000384679,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,BW,Niedersachsen,Baden-W�rttemberg,7279,7918293,0.000919264,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,BY,Niedersachsen,Bayern,7601,7918293,0.000959929,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,SL,Niedersachsen,Saarland,501,7918293,6.32712E-05,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,BE,Niedersachsen,Berlin,6095,7918293,0.000769737,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,BB,Niedersachsen,Brandenburg,2386,7918293,0.000301328,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,MV,Niedersachsen,Mecklenburg-Vorpommern,1057,7918293,0.000133488,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,SN,Niedersachsen,Sachsen,2810,7918293,0.000354874,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,ST,Niedersachsen,Sachsen-Anhalt,5337,7918293,0.000674009,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
NI,TH,Niedersachsen,Th�ringen,2293,7918293,0.000289583,0101000020E61000001740A8C8054C224024AA97D5C5614A40,,,,
HB,SH,Bremen,Schleswig-Holstein,923,660706,0.00139699,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
HB,HH,Bremen,Hamburg,1453,660706,0.002199163,0101000020E61000006DC21C778281214009AE9911AE984A40,,,,
